# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1097.94  3.78820003881838e-21  
1097.94  3.70525329281833e-21  
1098.71  3.70006166755363e-21  
1098.71  3.78289219250531e-21  
1099.48  3.77759549403583e-21  
1099.48  3.88790637487849e-21  
1101.03  3.87696750294504e-21  
1101.03  3.98694327008419e-21  
1101.8  3.98137261553323e-21  
1101.8  4.03628366868835e-21  
1102.57  4.03064801166528e-21  
1102.57  4.08550707325796e-21  
1104.11  4.07411818426947e-21  
1104.88  4.06844158974963e-21  
1104.88  4.09574425781491e-21  
1105.65  4.09004150393077e-21  
1105.65  4.22636476842901e-21  
1107.2  4.21453984064369e-21  
1107.2  4.2417282098884e-21  
1107.97  4.23583455609111e-21  
1107.97  4.2901601789965e-21  
1108.74  4.28420336990913e-21  
1108.74  4.22995317713938e-21  
1109.51  4.22408403897006e-21  
1109.51  4.16993348952916e-21  
1111.05  4.15838180941993e-21  
1111.05  4.05038072962786e-21  
1111.82  4.04477242398665e-21  
1111.82  3.99082238619491e-21  
1112.59  3.98530037021179e-21  
1112.59  4.11995248773051e-21  
1114.14  4.10849704356471e-21  
1114.91  4.10282402907741e-21  
1114.91  4.1832649338517e-21  
1115.68  4.17749266500447e-21  
1115.68  4.09716275643434e-21  
1117.22  4.08587530726617e-21  
1117.22  4.03246957108997e-21  
1117.99  4.02691686971249e-21  
1117.99  3.9468945729244e-21  
1118.76  3.94146344744693e-21  
1118.76  3.78168702100413e-21  
1119.54  3.77641934263418e-21  
1119.54  3.74982703149701e-21  
1121.08  3.73953201718263e-21  
1121.08  3.60691163287311e-21  
1121.85  3.60196200711698e-21  
1121.85  3.52251327263753e-21  
1122.62  3.51768277784735e-21  
1122.62  3.35897940393492e-21  
1124.16  3.34978269684177e-21  
1124.16  3.29703432571906e-21  
1124.93  3.29252231595568e-21  
1124.93  3.47691266900424e-21  
1125.71  3.47209606025491e-21  
1125.71  3.5246992719898e-21  
1126.48  3.51988233629225e-21  
1126.48  3.7300312696191e-21  
1126.48  3.7300312696191e-21  
1128.02  3.71985356521239e-21  
1128.02  3.61505401460317e-21  
1128.79  3.61012370483289e-21  
1128.79  3.79325513492609e-21  
1129.56  3.7880853149533e-21  
1129.56  3.84033055150162e-21  
1131.1  3.82988040032071e-21  
1131.1  3.85593193478931e-21  
1131.88  3.85061937408901e-21  
1131.88  3.56442389978445e-21  
1132.65  3.55957920198478e-21  
1132.65  3.35171356414428e-21  
1134.19  3.34261784885958e-21  
1134.19  3.23897873827329e-21  
1134.96  3.23458533654697e-21  
1134.96  3.33808386941288e-21  
1135.73  3.33355910865524e-21  
1136.5  3.32904354161179e-21  
1136.5  3.50969867777767e-21  
1138.05  3.50014491766921e-21  
1138.05  3.60310534437752e-21  
1138.82  3.59823459539366e-21  
1138.82  3.70103270627503e-21  
1139.59  3.69603295652864e-21  
1141.13  3.68606380308008e-21  
1141.13  3.63487263218035e-21  
1141.9  3.62997218858069e-21  
1141.9  3.70665542296218e-21  
1142.67  3.70166156990756e-21  
1142.67  3.52295210985132e-21  
1144.22  3.51341394895947e-21  
1144.22  3.36066877590942e-21  
1144.99  3.35615023016697e-21  
1144.99  3.17816424526107e-21  
1145.76  3.17389395451682e-21  
1145.76  3.37702993194939e-21  
1146.53  3.37249548475079e-21  
1146.53  3.72748900371745e-21  
1148.07  3.7174957401062e-21  
1148.07  3.97038923896324e-21  
1148.84  3.96506878496918e-21  
1148.84  4.06610426830846e-21  
1149.61  4.06065920126826e-21  
1149.61  3.98500108873946e-21  
1151.16  3.97427696127051e-21  
1151.16  3.84849681056492e-21  
1151.93  3.84335352558969e-21  
1151.93  3.71774147250536e-21  
1152.7  3.71277625204982e-21  
1152.7  3.53718585237948e-21  
1153.47  3.53246492504822e-21  
1153.47  3.45728978551322e-21  
1155.01  3.44807657209301e-21  
1155.01  3.52305137996725e-21  
1155.78  3.51835871194571e-21  
1155.78  3.79284027872174e-21  
1156.56  3.78772611634479e-21  
1156.56  4.01200320955233e-21  
1158.1  4.00134026683848e-21  
1158.1  4.07589315029148e-21  
1158.87  4.07047857389658e-21  
1158.87  4.0456606257375e-21  
1159.64  4.040289778836e-21  
1159.64  4.01550477792888e-21  
1161.18  4.0048608179671e-21  
1161.18  4.02958012089304e-21  
1161.95  4.02424125326461e-21  
1161.95  3.90080849401662e-21  
1162.73  3.8955766515876e-21  
1162.73  3.84624757776671e-21  
1163.5  3.84115839746006e-21  
1165.04  3.83101029211159e-21  
1165.04  3.90469971871922e-21  
1165.81  3.89954343103918e-21  
1165.81  3.87502008303458e-21  
1166.58  3.86990636473291e-21  
1166.58  3.99236129205452e-21  
1168.12  3.98184151052119e-21  
1168.12  3.90856215370334e-21  
1168.9  3.90334757367527e-21  
