# 53w091 spectrum (fig 5 from astro-ph/9702233 digitized by Sandra Savaglio)
# wavelen/A     f_lam (normalised)
# (rest frame wavelength/flux)
1880.87774294671  0.0602593486127865  
1880.87774294671  0.0911338962605549  
1882.44514106583  0.0911338962605549  
1882.44514106583  0.0293606755126659  
1882.83699059561  0.0293606755126659  
1882.83699059561  0.0726176115802171  
1884.40438871473  0.0726176115802171  
1884.40438871473  0.424909529553679  
1885.18808777429  0.424909529553679  
1885.18808777429  0.727985524728589  
1885.57993730408  0.727985524728589  
1885.57993730408  0.764776839565742  
1887.1473354232  0.764776839565742  
1887.1473354232  0.727985524728589  
1887.93103448276  0.727985524728589  
1887.93103448276  0.647165259348613  
1888.32288401254  0.647165259348613  
1888.32288401254  0.758745476477684  
1889.89028213166  0.758745476477684  
1889.89028213166  0.721351025331725  
1890.67398119122  0.721351025331725  
1890.67398119122  0.678528347406514  
1891.84952978056  0.678528347406514  
1891.84952978056  0.579433051869723  
1892.63322884013  0.579433051869723  
1892.63322884013  0.103498190591074  
1894.20062695925  0.103498190591074  
1894.20062695925  -0.180759951749095  
1894.59247648903  -0.180759951749095  
1894.59247648903  -0.193124246079614  
1895.37617554859  -0.193124246079614  
1895.37617554859  -0.180759951749095  
1896.94357366771  -0.180759951749095  
1896.94357366771  -0.063329312424608  
1897.33542319749  -0.063329312424608  
1897.33542319749  -0.112786489746683  
1898.11912225705  -0.112786489746683  
1898.11912225705  -0.0448069963811821  
1899.68652037618  -0.0448069963811821  
1899.68652037618  0.0788299155609168  
1900.07836990596  0.0788299155609168  
1900.07836990596  0.208564535585042  
1901.64576802508  0.208564535585042  
1901.64576802508  0.437273823884198  
1902.42946708464  0.437273823884198  
1902.42946708464  0.517611580217129  
1903.2131661442  0.517611580217129  
1903.2131661442  0.394028950542823  
1904.38871473354  0.394028950542823  
1904.38871473354  0.356936067551267  
1905.1724137931  0.356936067551267  
1905.1724137931  0.369300361881785  
1906.34796238245  0.369300361881785  
1906.34796238245  0.449638118214717  
1907.13166144201  0.449638118214717  
1907.13166144201  0.41254523522316  
1907.91536050157  0.41254523522316  
1907.91536050157  0.591797346200241  
1909.09090909091  0.591797346200241  
1909.09090909091  0.629071170084439  
1909.87460815047  0.629071170084439  
1909.87460815047  0.69059107358263  
1911.44200626959  0.69059107358263  
1911.44200626959  0.659831121833534  
1912.22570532915  0.659831121833534  
1912.22570532915  0.814234016887817  
1912.61755485893  0.814234016887817  
