# Spectrum of the Sun from Kohl, Parkinson & Kurucz Atlas
# Sun center, observed, averaged
#
# My mods:
#    Used abs() for uncertain data (negative values in original)
#    Interpolated gaps  (zero in original)
#    Binned up to 0.9328 A/pix
# Wave(air)/A     ergs/cm^2/sec/nm/steradian
2560.56796281394  2077578.66745311  
2561.50081493957  1724652.38407762  
2562.43367753901  1085763.00407254  
2563.36652857204  1349147.77333887  
2564.29938917147  2788774.54405719  
2565.23224284466  2267721.94823028  
2566.16509919879  4398820.23812271  
2567.09795854488  3289064.28081801  
2568.03080937843  3358906.45510087  
2568.96367263712  4074663.2259524  
2569.89652377395  4453963.13253367  
2570.82938412146  2826767.84600436  
2571.7622378662  4162361.91016304  
2572.6950955894  3424738.40952539  
2573.62795227811  5442684.55347143  
2574.56080595502  2992893.79899921  
2575.49366702291  1727810.5924187  
2576.42651956493  1536891.08694802  
2577.35937868358  2608992.57877473  
2578.29223385995  3914990.41634316  
2579.22508866045  3848866.35734087  
2580.15794961376  5426465.18243582  
2581.09079878649  6843139.92382059  
2582.02366370601  4498504.81035477  
2582.95651312768  2434143.86956655  
2583.88937524468  4589368.11024591  
2584.82222727353  2284755.92122921  
2585.7550866662  935097.827465491  
2586.68794173186  2476164.14540986  
2587.6207970751  3470827.61298248  
2588.55365643024  2713341.58865985  
2589.48651063209  7079584.22231823  
2590.41936814697  4620437.56952377  
2591.35222487524  2286816.7757905  
2592.2850781221  4631595.2850018  
2593.21794062905  1961907.85617826  
2594.15078824815  1675353.45559865  
2595.0836547749  3789854.67508983  
2596.01650248141  3229546.94786794  
2596.94936642149  2636236.44475556  
2597.8822166148  1360950.86731153  
2598.81507785233  729126.542410586  
2599.74793106863  766917.122052458  
2600.68078821527  1826505.04045036  
2601.61364744552  3214768.40136823  
2602.54650185188  3524126.54858178  
2603.47936238881  2995272.64533183  
2604.41221594413  3324145.65649385  
2605.34507256845  1743141.57904827  
2606.27793164434  1559862.616267  
2607.21078274809  875462.499915294  
2608.1436457625  2233592.39468357  
2609.07649695  2606068.61808296  
2610.00935746049  2937587.6725081  
2610.94221104225  1820945.99239476  
2611.87506891871  892628.560274875  
2612.80792546389  1681122.59040096  
2613.74077928165  1031390.40911959  
2614.67364017598  2386092.93732285  
2615.60649125455  3531649.34731332  
2616.53935348141  3619645.05948146  
