# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1094.86  4.06516653145788e-21  
1095.63  4.05945460626942e-21  
1095.63  3.91615298213917e-21  
1097.17  3.90516718578946e-21  
1097.94  3.89969161460003e-21  
1097.94  3.7569923522045e-21  
1098.71  3.7517282326225e-21  
1098.71  3.78023306674179e-21  
1099.48  3.77494009150486e-21  
1099.48  3.71801024658853e-21  
1101.03  3.70754938822078e-21  
1101.03  3.84944881413795e-21  
1101.8  3.84407027020027e-21  
1101.8  4.07080695458291e-21  
1102.57  4.06512309445654e-21  
1102.57  4.20660172698503e-21  
1104.11  4.19487527070227e-21  
1104.11  4.33598412205864e-21  
1104.88  4.32994266165123e-21  
1104.88  4.44269211357159e-21  
1105.65  4.4365062830822e-21  
1105.65  4.21134589572462e-21  
1107.2  4.19956298917856e-21  
1107.2  3.97505704907865e-21  
1107.97  3.96953392055355e-21  
1107.97  3.77334584107337e-21  
1108.74  3.76810661925925e-21  
1109.51  3.76287830172026e-21  
1109.51  3.81878350442837e-21  
1111.05  3.80820459098519e-21  
1111.05  3.72460339510654e-21  
1111.82  3.71944617270538e-21  
1111.82  3.91425361910857e-21  
1112.59  3.90883754969854e-21  
1112.59  4.04780357594987e-21  
1114.14  4.03654874036705e-21  
1114.14  4.20284913482559e-21  
1114.91  4.19704583893004e-21  
1114.91  4.11399838818647e-21  
1115.68  4.10832169662875e-21  
1115.68  3.94250418358871e-21  
1117.22  3.93164280994723e-21  
1117.22  3.76625807969141e-21  
1117.99  3.76107195092879e-21  
1118.76  3.75589652672683e-21  
1118.76  3.83834940805945e-21  
1119.54  3.83300280215557e-21  
1119.54  3.77811876125771e-21  
1121.08  3.76774607302385e-21  
1121.08  3.74036745876845e-21  
1121.85  3.73523469672832e-21  
1121.85  3.57121227189991e-21  
1122.62  3.56631499517194e-21  
1122.62  3.48442814857546e-21  
1124.16  3.47488796948652e-21  
1124.16  3.36599653008965e-21  
1124.93  3.36139014516705e-21  
1125.71  3.35673357115314e-21  
1125.71  3.51963307608014e-21  
1126.48  3.51482306396331e-21  
1126.48  3.59614968457804e-21  
1128.02  3.58633728734962e-21  
1128.02  3.85671777022622e-21  
1128.79  3.85145787280092e-21  
1128.79  3.82445199078537e-21  
1129.56  3.81923965267901e-21  
1129.56  3.92709244297925e-21  
1131.1  3.91640619887079e-21  
1131.1  3.8357425817943e-21  
1131.88  3.83045783723937e-21  
1131.88  3.74988193909815e-21  
1132.65  3.74478517022606e-21  
1132.65  3.79842942415857e-21  
1134.19  3.78812143336222e-21  
