# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1105.65  3.4436655428832e-21  
1107.2  3.43403052589044e-21  
1107.97  3.42925912469558e-21  
1107.97  3.67578943682762e-21  
1108.74  3.67068567029981e-21  
1108.74  3.75275647474635e-21  
1109.51  3.74754945581642e-21  
1109.51  3.66559252612706e-21  
1111.05  3.65543798712088e-21  
1111.05  3.49200250971276e-21  
1111.82  3.48716735502444e-21  
1112.59  3.48234223578664e-21  
1112.59  3.56382179285971e-21  
1114.14  3.55391265878922e-21  
1114.14  3.71646700454247e-21  
1114.91  3.7113353053019e-21  
1115.68  3.70621422750665e-21  
1115.68  3.78726717755805e-21  
1117.22  3.77683347299363e-21  
1117.99  3.77163278193862e-21  
1118.76  3.76644282550193e-21  
1118.76  3.84702613568806e-21  
1119.54  3.8416674435882e-21  
1119.54  3.76119638144315e-21  
1121.08  3.75087015299023e-21  
1121.08  3.67059615147242e-21  
1121.85  3.66555913390701e-21  
1121.85  3.58539528930623e-21  
1122.62  3.58047856311523e-21  
1124.16  3.57067540309593e-21  
1124.16  3.7303448649192e-21  
1124.93  3.72523986727934e-21  
1124.93  3.56578891400027e-21  
1125.71  3.56084918392463e-21  
1125.71  3.40164279377289e-21  
1126.48  3.39699402990987e-21  
1126.48  3.15847534520578e-21  
1128.02  3.14985717926674e-21  
1128.02  3.22914646806287e-21  
1128.79  3.22474246958405e-21  
1128.79  3.46226238045834e-21  
1129.56  3.45754366986049e-21  
1129.56  3.61569014196849e-21  
1131.1  3.6058512731263e-21  
1131.1  3.68470933830892e-21  
1131.88  3.67963268178236e-21  
1132.65  3.67463139437709e-21  
1132.65  3.5173466289237e-21  
1134.19  3.50780142678096e-21  
1134.96  3.50304338972999e-21  
1134.96  3.58136597434476e-21  
1135.73  3.57651144556316e-21  
1135.73  3.73292102489552e-21  
1136.5  3.72786449084095e-21  
1138.05  3.71771686099231e-21  
1138.05  3.79561470464137e-21  
1138.82  3.79048371770127e-21  
1138.82  3.71269117789613e-21  
1139.59  3.70767567864275e-21  
1139.59  3.55232388059244e-21  
1141.13  3.54274234755928e-21  
1141.13  3.38778653501582e-21  
1141.9  3.38321920666006e-21  
1141.9  3.38321920666006e-21  
1141.9  3.22849530890563e-21  
1142.67  3.22414566500284e-21  
1142.67  3.30141487484717e-21  
1144.22  3.29247651143343e-21  
1144.22  3.36951360591202e-21  
1144.99  3.36498316796251e-21  
1144.99  3.51889596488679e-21  
1145.76  3.51416785528979e-21  
1145.76  3.66785099717685e-21  
1146.53  3.66292605513778e-21  
1146.53  3.73967585933482e-21  
1148.07  3.7296499232031e-21  
1148.07  3.80619396394257e-21  
1148.84  3.80109353709301e-21  
1148.84  3.87753500626511e-21  
1149.61  3.87234245913237e-21  
1151.16  3.86192150987529e-21  
1151.93  3.85676028359527e-21  
1151.93  3.70469644827396e-21  
1152.7  3.69974865006837e-21  
1152.7  3.62381827664785e-21  
1153.47  3.618981724807e-21  
1155.01  3.60933762406248e-21  
1155.78  3.60453002365571e-21  
1155.78  3.52902625770079e-21  
1156.56  3.5242678149539e-21  
1156.56  3.59966977369027e-21  
1158.1  3.59010271439824e-21  
1158.87  3.58533348108032e-21  
1158.87  3.51023182337481e-21  
1159.64  3.50557178896852e-21  
1159.64  3.35552325962442e-21  
1161.18  3.34662872277252e-21  
1161.95  3.34219471048927e-21  
1161.95  3.49164722870745e-21  
1162.73  3.48696416155705e-21  
1162.73  3.71082007550449e-21  
1163.5  3.70591008672505e-21  
1165.04  3.69611929913428e-21  
1165.81  3.69123844893351e-21  
1165.81  3.61700620830393e-21  
1166.58  3.61223298121133e-21  
1166.58  3.68636726034411e-21  
1168.12  3.67665376615018e-21  
1168.12  3.60271482916295e-21  
1168.9  3.59790829313865e-21  
1168.9  3.74558887691331e-21  
1169.67  3.74065901785069e-21  
1169.67  3.66691591287952e-21  
1171.21  3.65727914763605e-21  
1171.21  3.43665310015955e-21  
1171.98  3.43213876784571e-21  
1171.98  3.28523338247015e-21  
1172.75  3.28092078514439e-21  
1172.75  2.98751751893085e-21  
1173.52  2.98359831210921e-21  
1173.52  2.91033827557627e-21  
1175.07  2.90266545753494e-21  
1175.07  2.61041960936764e-21  
1175.84  2.60700185700951e-21  
1175.84  2.67997308620286e-21  
1176.61  2.67646656484052e-21  
1176.61  2.96794790466993e-21  
1178.15  2.9601939640788e-21  
1178.15  3.39628451191848e-21  
1178.92  3.39184946111266e-21  
1178.92  3.75475850972368e-21  
1179.69  3.74985854362907e-21  
1179.69  3.82235425671213e-21  
1180.46  3.81736933072337e-21  
1180.46  3.6001873562241e-21  
1182.01  3.59075151115806e-21  
1182.01  3.37413875577429e-21  
1182.78  3.36974699880604e-21  
1182.78  3.22551216013474e-21  
1183.55  3.22131658503898e-21  
1183.55  3.36536381068419e-21  
1185.09  3.3566230519428e-21  
1185.09  3.28478650389499e-21  
1185.86  3.28052214814824e-21  
1185.86  3.20877885931108e-21  
1186.63  3.20461587996949e-21  
1186.63  2.98968655207142e-21  
1188.18  2.98189145102182e-21  
1188.18  2.76752251492413e-21  
1188.95  2.7639390130293e-21  
1188.95  2.47847678905104e-21  
1189.72  2.47526963182085e-21  
1189.72  2.26143410945138e-21  
1190.49  2.25850969827109e-21  
1192.03  2.25267786815027e-21  
1192.03  2.32368038622096e-21  
1192.8  2.3206812977125e-21  
1192.8  2.67521460081751e-21  
1193.58  2.67171925811065e-21  
1193.58  3.09658651027926e-21  
1195.12  3.0886112930832e-21  
1195.12  3.44176947249089e-21  
1195.89  3.4373387818568e-21  
1195.89  3.79004233039791e-21  
1196.66  3.78516643635495e-21  
1196.66  3.8556205853131e-21  
1198.2  3.84571599512438e-21  
1198.2  3.70516967238539e-21  
1198.97  3.70041214796008e-21  
1198.97  3.41970130114954e-21  
1199.75  3.41525620852194e-21  
1199.75  3.27509364687137e-21  
1200.52  3.27089377785803e-21  
1200.52  3.06088832202077e-21  
1202.06  3.05305052934562e-21  
1202.06  2.77378101101697e-21  
1202.83  2.77023083725805e-21  
1202.83  2.56105196102201e-21  
1203.6  2.55777615640947e-21  
1203.6  2.27922082870697e-21  
1205.14  2.27339950100703e-21  
1205.92  2.2704595412532e-21  
1206.69  2.26756286346797e-21  
1206.69  2.61398119879735e-21  
1207.46  2.61064837824762e-21  
1207.46  2.67984782412342e-21  
1209  2.67302509918375e-21  
1209  2.81105111169947e-21  
1209.77  2.80747386888877e-21  
1209.77  3.28998089565366e-21  
1210.54  3.28579684621474e-21  
1210.54  4.11190858467932e-21  
1212.09  4.10139883182036e-21  
1212.09  5.95539429885759e-21  
1212.86  5.94783497959717e-21  
1212.86  9.92545777975569e-21  
1213.63  9.91286715818791e-21  
1213.63  1.84059412847091e-20  
1215.17  1.83593186911645e-20  
1215.17  2.97001676589986e-20  
1215.94  2.96625640139124e-20  
1215.94  3.68270061895167e-20  
1216.71  3.67804086898528e-20  
1216.71  3.43954181397563e-20  
1217.48  3.43519248637048e-20  
1217.48  2.43469834174643e-20  
1219.03  2.42851082668554e-20  
1219.03  1.41021188028076e-20  
1219.79  1.4084551399495e-20  
1219.79  7.91452906185203e-21  
1220.56  7.90454632426552e-21  
1220.56  5.39901309820754e-21  
1222.1  5.38541479770043e-21  
1222.1  4.5073263788802e-21  
1222.88  4.50157831963253e-21  
1222.88  4.36664772533033e-21  
1223.65  4.36115389808576e-21  
1223.65  4.29377348130762e-21  
1225.19  4.28298616598013e-21  
1225.96  4.27760774633058e-21  
1225.96  4.07624750300923e-21  
1226.73  4.07113191030901e-21  
1227.5  4.06602594148855e-21  
1229.05  4.05577677969172e-21  
1229.05  4.12256640695146e-21  
1229.82  4.1174056803697e-21  
1229.82  4.05069966195231e-21  
1230.59  4.04563207173413e-21  
1232.13  4.03552537864096e-21  
1232.9  4.03048622834148e-21  
1232.9  4.09685937644332e-21  
1233.67  4.09174683054767e-21  
1234.44  4.08664384874367e-21  
1234.44  4.02043620222992e-21  
1235.99  4.01035882509944e-21  
1236.76  4.00536672474567e-21  
1236.76  4.07132621046586e-21  
1237.53  4.06626137018419e-21  
1237.53  4.19799664195646e-21  
1239.07  4.18756801837279e-21  
1239.07  4.38470935309369e-21  
1239.84  4.37926481540685e-21  
1239.84  4.57614184178824e-21  
1240.61  4.57046312611439e-21  
1240.61  4.76709583999538e-21  
1242.16  4.75520624693428e-21  
1242.16  4.95134854001632e-21  
1242.93  4.9452156806685e-21  
1242.93  5.14113444623748e-21  
1243.7  5.13477045479919e-21  
1244.47  5.1284182726225e-21  
1244.47  5.06327354708895e-21  
1246.01  5.05076542491062e-21  
1246.01  4.92079783604539e-21  
1246.78  4.91472163286064e-21  
1246.78  4.84981808044402e-21  
1247.56  4.84375556554669e-21  
1247.56  4.77895242099002e-21  
1249.1  4.76717586193722e-21  
1249.1  4.70251318119809e-21  
1249.87  4.69672086714063e-21  
1250.64  4.69093924850795e-21  
1250.64  4.75544277998251e-21  
1252.18  4.74375296137532e-21  
1252.18  4.87242376625102e-21  
1252.95  4.86643691366049e-21  
1252.95  4.93070282064413e-21  
1253.73  4.92456951948005e-21  
1253.73  4.86038355285713e-21  
1254.5  4.85441887086123e-21  
1256.04  4.84252239923608e-21  
1256.04  4.65069113548826e-21  
1256.81  4.6449942756721e-21  
1256.81  4.32565448031228e-21  
1257.58  4.32035901718307e-21  
1257.58  3.87384199499497e-21  
1259.12  3.86437178022822e-21  
1259.12  3.73711547824536e-21  
1259.9  3.73248963848828e-21  
1259.9  3.85958842131915e-21  
1260.67  3.85487509349881e-21  
1260.67  4.23574355577925e-21  
1262.21  4.22541395016658e-21  
1262.21  4.60533476738344e-21  
1262.98  4.59972101768899e-21  
1262.98  4.85269909107875e-21  
1263.75  4.84678741557996e-21  
1263.75  5.16262947341851e-21  
1264.52  5.15634406174564e-21  
1266.07  5.14372636928768e-21  
1266.07  5.01784464549039e-21  
1266.84  5.0117466912673e-21  
1266.84  4.82317226586008e-21  
1267.61  4.81731444733221e-21  
1267.61  4.75452642431711e-21  
1269.15  4.74299503966565e-21  
1269.15  4.80563077982851e-21  
1269.92  4.79980487918203e-21  
1269.92  4.73724507277601e-21  
1270.69  4.73150555564101e-21  
1270.69  4.7939895662891e-21  
1271.46  4.78818481550959e-21  
1271.46  4.72577646295472e-21  
1273.01  4.71427538419694e-21  
1273.01  4.83878832403826e-21  
1273.78  4.83293999722166e-21  
