# Thu Nov 15 11:34:36 2012
# HST/COS EUV+FUV AGN composite spectrum.
# Figure 5 from Shull, Stevans, and Danforth 2012.
 
# wave         flux        spline
# [Angstroms]  [Relative]  [Relative]
572.150      1.2846      1.6186
572.250      1.4318      1.6167
572.350      1.3891      1.6149
572.450      1.3908      1.6131
572.550      1.4167      1.6113
572.650      1.4162      1.6096
572.750      1.4635      1.6078
572.850      1.4512      1.6061
572.950      1.5583      1.6044
573.050      1.5710      1.6027
573.150      1.5101      1.6010
573.250      1.5332      1.5993
573.350      1.4823      1.5977
573.450      1.4637      1.5960
573.550      1.5905      1.5944
573.650      1.5402      1.5927
573.750      1.5562      1.5911
573.850      1.4537      1.5895
573.950      1.5050      1.5879
574.050      1.5278      1.5863
574.150      1.4530      1.5847
574.250      1.3747      1.5831
574.350      1.5688      1.5815
574.450      1.4287      1.5800
574.550      1.2986      1.5784
574.650      1.4766      1.5768
574.750      1.5654      1.5752
574.850      1.5628      1.5737
574.950      1.5168      1.5721
575.050      1.4950      1.5705
575.150      1.4624      1.5689
575.250      1.4664      1.5674
575.350      1.4697      1.5658
575.450      1.4999      1.5642
575.550      1.4233      1.5626
575.650      1.4479      1.5610
575.750      1.4076      1.5595
575.850      1.2608      1.5579
575.950      1.0578      1.5563
576.050      1.1846      1.5547
576.150      1.4454      1.5531
576.250      1.4233      1.5515
576.350      1.4349      1.5499
576.450      1.2442      1.5483
576.550      1.1143      1.5467
576.650      1.0890      1.5452
576.750      1.1937      1.5436
576.850      1.4208      1.5420
576.950      1.5392      1.5404
577.050      1.5474      1.5388
577.150      1.5786      1.5373
577.250      1.4891      1.5357
577.350      1.4727      1.5341
577.450      1.4378      1.5326
577.550      1.5100      1.5310
577.650      1.5560      1.5295
577.750      1.4838      1.5280
577.850      1.5127      1.5265
577.950      1.4695      1.5250
578.050      1.4399      1.5236
578.150      1.4277      1.5221
578.250      1.2969      1.5207
578.350      1.1968      1.5193
578.450      1.0910      1.5179
578.550      1.2475      1.5166
578.650      1.4426      1.5153
578.750      1.4689      1.5140
578.850      1.5235      1.5127
578.950      1.4833      1.5115
579.050      1.5339      1.5103
579.150      1.4122      1.5091
579.250      1.6270      1.5080
579.350      1.1945      1.5069
579.450      1.3078      1.5059
579.550      1.3046      1.5049
579.650      1.3187      1.5039
579.750      1.1647      1.5030
579.850      1.1139      1.5021
579.950      1.3302      1.5012
580.050      1.4396      1.5004
580.150      1.5372      1.4997
580.250      1.4203      1.4990
580.350      1.3847      1.4984
580.450      1.5119      1.4978
580.550      1.5232      1.4972
580.650      1.4295      1.4967
580.750      1.4173      1.4963
580.850      1.4843      1.4959
580.950      1.4506      1.4955
581.050      1.3239      1.4952
581.150      1.1182      1.4950
581.250      1.0860      1.4948
581.350      1.2902      1.4946
581.450      1.3901      1.4945
581.550      1.4955      1.4944
581.650      1.4206      1.4943
581.750      1.4138      1.4943
581.850      1.3284      1.4943
581.950      1.3286      1.4944
582.050      1.3812      1.4945
582.150      1.4782      1.4946
582.250      1.3481      1.4948
582.350      1.4529      1.4950
582.450      1.4818      1.4731
582.550      1.2406      1.5114
582.650      1.1155      1.5112
582.750      1.1423      1.5111
582.850      1.4437      1.5110
582.950      1.4111      1.5110
583.050      1.4899      1.5109
583.150      1.4197      1.5108
583.250      1.4280      1.5107
583.350      1.3657      1.5107
583.450      1.3115      1.5106
583.550      1.4968      1.5105
583.650      1.4743      1.5104
583.750      1.4228      1.5103
583.850      1.3707      1.5102
583.950      1.3935      1.5101
584.050      1.4614      1.5099
584.150      1.3297      1.5098
584.250      1.2214      1.5096
584.350      1.2432      1.5093
584.450      1.3964      1.5091
584.550      1.1946      1.5088
584.650      1.2081      1.5085
584.750      1.3137      1.4546
584.850      1.1801      1.4537
584.950      1.3507      1.4527
585.050      1.2865      1.4516
585.150      1.1009      1.4505
585.250      1.0751      1.4494
585.350      1.1076      1.4482
585.450      1.2891      1.4469
585.550      1.3562      1.4456
585.650      1.3335      1.4443
585.750      1.2660      1.4429
585.850      1.1499      1.4414
585.950      1.1367      1.4400
586.050      1.2870      1.4384
586.150      1.2788      1.4369
586.250      1.3097      1.4353
586.350      1.3137      1.4338
586.450      1.3376      1.4321
586.550      1.3483      1.4305
586.650      1.4268      1.4289
586.750      1.4206      1.4272
586.850      1.3698      1.4255
586.950      1.2613      1.4238
587.050      1.2123      1.4222
587.150      1.2612      1.4205
587.250      1.3110      1.4188
587.350      1.3335      1.4171
587.450      1.2324      1.4155
587.550      0.9774      1.4138
587.650      0.9453      1.4122
587.750      1.0653      1.4105
587.850      0.9807      1.4089
587.950      1.2666      1.4073
588.050      1.0852      1.4058
588.150      1.0607      1.4043
588.250      1.1387      1.4028
588.350      1.3206      1.4013
588.450      1.3701      1.3999
588.550      1.3094      1.3985
588.650      1.2233      1.3972
588.750      1.2698      1.3831
588.850      1.2654      1.3823
588.950      1.1455      1.3815
589.050      1.2243      1.3807
589.150      1.2048      1.3800
589.250      1.1972      1.3794
589.350      1.1998      1.3787
589.450      1.2929      1.3782
589.550      1.3238      1.3776
589.650      1.3262      1.3772
589.750      1.2963      1.3768
589.850      1.3300      1.3764
589.950      1.2560      1.3761
590.050      1.2355      1.3759
590.150      1.1902      1.3757
590.250      1.1414      1.3756
590.350      1.0710      1.3755
590.450      1.0684      1.3755
590.550      1.0947      1.3756
590.650      1.1324      1.3757
590.750      1.0801      1.4579
590.850      0.8257      1.4577
590.950      1.0095      1.4575
591.050      1.2836      1.4573
591.150      1.3773      1.4572
591.250      1.3624      1.4572
591.350      1.4071      1.4572
591.450      1.3298      1.4572
591.550      1.3052      1.4574
591.650      1.3775      1.4575
591.750      1.3575      1.4577
591.850      1.3661      1.4580
591.950      1.3886      1.4584
592.050      1.3576      1.4587
592.150      1.3170      1.4592
592.250      1.3763      1.4597
592.350      1.0482      1.4602
592.450      1.1414      1.4608
592.550      1.3304      1.4614
592.650      1.3087      1.4621
592.750      1.2443      1.4628
592.850      1.1030      1.4635
592.950      1.1696      1.4643
593.050      1.1657      1.3580
593.150      1.2461      1.5321
593.250      1.1436      1.5329
593.350      1.3324      1.5337
593.450      1.2472      1.5346
593.550      1.2947      1.5355
593.650      1.4197      1.5363
593.750      1.5168      1.5372
593.850      1.4493      1.5382
593.950      1.4104      1.5391
594.050      1.2654      1.5400
594.150      1.2183      1.5409
594.250      1.3685      1.5419
594.350      1.4423      1.5428
594.450      1.3509      1.5438
594.550      1.3911      1.5447
594.650      1.5347      1.5457
594.750      1.5323      1.5467
594.850      1.5475      1.5476
594.950      1.4558      1.5486
595.050      1.2838      1.5495
595.150      1.3623      1.4688
595.250      1.2335      1.5522
595.350      1.3059      1.5536
595.450      1.3382      1.5550
595.550      1.3955      1.5563
595.650      1.3867      1.5577
595.750      1.4452      1.5590
595.850      1.4511      1.5603
595.950      1.4715      1.5616
596.050      1.5105      1.5629
596.150      1.3829      1.5642
596.250      1.3857      1.5655
596.350      1.4481      1.5667
596.450      1.3526      1.5680
596.550      1.3874      1.5692
596.650      1.5214      1.5704
596.750      1.4743      1.5716
596.850      1.5555      1.5728
596.950      1.4794      1.5740
597.050      1.3044      1.5751
597.150      1.4145      1.5763
597.250      1.5250      1.5774
597.350      1.5556      1.5785
597.450      1.5432      1.5796
597.550      1.4914      1.5807
597.650      1.5462      1.5818
597.750      1.5829      1.5829
597.850      1.5563      1.5839
597.950      1.6408      1.5849
598.050      1.5533      1.5859
598.150      1.5860      1.5869
598.250      1.5575      1.5879
598.350      1.5332      1.5889
598.450      1.5704      1.5898
598.550      1.4750      1.5908
598.650      1.4284      1.5917
598.750      1.5952      1.6348
598.850      1.5728      1.6355
598.950      1.4600      1.6362
599.050      1.4116      1.6368
599.150      1.6220      1.6374
599.250      1.6199      1.6381
599.350      1.5577      1.6387
599.450      1.5449      1.6393
599.550      1.4534      1.6399
599.650      1.2762      1.6405
599.750      1.2216      1.6410
599.850      1.5729      1.6416
599.950      1.5177      1.6421
600.050      1.6157      1.6426
600.150      1.6509      1.6432
600.250      1.5951      1.6437
600.350      1.4633      1.6442
600.450      1.5459      1.6446
600.550      1.5751      1.6451
600.650      1.5465      1.6455
600.750      1.6183      1.6459
600.850      1.5206      1.5638
600.950      1.5410      1.6223
601.050      1.5879      1.6227
601.150      1.5169      1.6231
601.250      1.4730      1.6235
601.350      1.5422      1.6238
601.450      1.5288      1.6241
601.550      1.5382      1.6244
601.650      1.4222      1.6246
601.750      1.3197      1.6249
601.850      1.3379      1.6251
601.950      1.2455      1.6252
602.050      1.3343      1.6254
602.150      1.4782      1.6255
602.250      1.4870      1.6256
602.350      1.3225      1.6256
602.450      1.2547      1.6257
602.550      1.1712      1.6257
602.650      1.4939      1.6256
602.750      1.5685      1.6256
602.850      1.4918      1.6255
602.950      1.4566      1.6254
603.050      1.4583      1.6253
603.150      1.3981      1.6251
603.250      1.3903      1.6250
603.350      1.4892      1.6248
603.450      1.5369      1.6245
603.550      1.5439      1.6243
603.650      1.4484      1.6240
603.750      1.3723      1.6237
603.850      1.1794      1.6233
603.950      1.0996      1.6230
604.050      1.3010      1.6226
604.150      1.4114      1.6222
604.250      1.4177      1.6217
604.350      1.4064      1.6213
604.450      1.4791      1.6208
604.550      1.4533      1.6203
604.650      1.4977      1.6197
604.750      1.5320      1.6192
604.850      1.5658      1.5935
604.950      1.5775      1.5930
605.050      1.5628      1.5925
605.150      1.4925      1.5920
605.250      1.4477      1.5915
605.350      1.5487      1.5909
605.450      1.5150      1.5904
605.550      1.4998      1.5897
605.650      1.5622      1.5891
605.750      1.5289      1.5885
605.850      1.5200      1.5878
605.950      1.4535      1.5871
606.050      1.3879      1.5863
606.150      1.4489      1.5855
606.250      1.4165      1.5847
606.350      1.4012      1.5839
606.450      1.3539      1.5830
606.550      1.3719      1.5821
606.650      1.4640      1.5812
606.750      1.4474      1.5802
606.850      1.4682      1.5792
606.950      1.3049      1.5782
607.050      1.1933      1.5771
607.150      1.2298      1.5760
607.250      1.2755      1.5748
607.350      1.1301      1.5736
607.450      1.2464      1.5724
607.550      1.2182      1.5711
607.650      1.2820      1.5698
607.750      1.3342      1.5685
607.850      1.4432      1.5671
607.950      1.4221      1.5657
608.050      1.4132      1.5643
608.150      1.3924      1.5628
608.250      1.4086      1.5618
608.350      1.3910      1.5677
608.450      1.2708      1.5665
608.550      1.3845      1.5653
608.650      1.1863      1.5642
608.750      1.2762      1.5630
608.850      1.4717      1.5618
608.950      1.5030      1.5606
609.050      1.3880      1.5594
609.150      1.2424      1.5583
609.250      1.4621      1.5571
609.350      1.5039      1.5559
609.450      1.3822      1.5547
609.550      1.2958      1.5536
609.650      1.1158      1.5524
609.750      1.1746      1.5513
609.850      1.0981      1.5502
609.950      1.2144      1.5491
610.050      1.2666      1.5480
610.150      1.2152      1.5469
610.250      1.2362      1.5458
610.350      1.3025      1.5447
610.450      1.1640      1.5437
610.550      1.1504      1.5427
610.650      1.1248      1.5417
610.750      1.1869      1.5408
610.850      1.2331      1.5398
610.950      1.3863      1.5389
611.050      1.2464      1.5381
611.150      1.3140      1.5372
611.250      1.3483      1.5364
611.350      1.2336      1.5357
611.450      1.0498      1.5350
611.550      1.2225      1.5343
611.650      1.3669      1.5337
611.750      1.3887      1.5331
611.850      1.3715      1.5326
611.950      1.3585      1.5321
612.050      1.4357      1.5317
612.150      1.3959      1.5314
612.250      1.2860      1.5311
612.350      1.1956      1.5308
612.450      1.1987      1.5306
612.550      1.2937      1.5305
612.650      1.3231      1.5304
612.750      1.3481      1.5303
612.850      1.3731      1.5303
612.950      1.4121      1.5303
613.050      1.3301      1.5304
613.150      1.3485      1.5305
613.250      1.3817      1.5306
613.350      1.2477      1.5308
613.450      1.0629      1.5310
613.550      1.3507      1.5312
613.650      1.4254      1.5051
613.750      1.4191      1.5057
613.850      1.3000      1.5063
613.950      1.2155      1.5070
614.050      1.2456      1.5077
614.150      1.1411      1.5084
614.250      1.0105      1.5091
614.350      1.1518      1.5098
614.450      1.2594      1.5106
614.550      1.3315      1.5114
614.650      1.4141      1.5122
614.750      1.4262      1.5130
614.850      1.2984      1.5138
614.950      1.1527      1.5146
615.050      1.2986      1.5154
615.150      1.4157      1.5162
615.250      1.3710      1.5171
615.350      1.3198      1.5179
615.450      1.3286      1.5188
615.550      1.4621      1.5196
615.650      1.3496      1.5205
615.750      1.3933      1.5213
615.850      1.3327      1.5222
615.950      1.4216      1.5231
616.050      1.5225      1.5239
616.150      1.4150      1.5247
616.250      1.3867      1.5256
616.350      1.2678      1.5264
616.450      1.3402      1.5272
616.550      1.3769      1.5280
616.650      1.3939      1.5288
616.750      1.4018      1.5295
616.850      1.2833      1.5302
616.950      1.2648      1.5310
617.050      1.2881      1.5317
617.150      1.4608      1.5323
617.250      1.4347      1.5330
617.350      1.2776      1.5336
617.450      1.4264      1.5342
617.550      1.3984      1.5348
617.650      1.2971      1.5354
617.750      1.2626      1.5359
617.850      1.4249      1.5364
617.950      1.3754      1.5369
618.050      1.3969      1.5374
618.150      1.3806      1.5379
618.250      1.3999      1.5383
618.350      1.4045      1.5388
618.450      1.1963      1.5392
618.550      1.1695      1.5396
618.650      1.3883      1.5399
618.750      1.2955      1.5403
618.850      1.2651      1.5406
618.950      1.4323      1.5409
619.050      1.5077      1.5412
619.150      1.5190      1.5415
619.250      1.4768      1.5418
619.350      1.3805      1.5420
619.450      1.3021      1.5333
619.550      1.2494      1.5340
619.650      1.2631      1.5347
619.750      1.2910      1.5354
619.850      1.3098      1.5361
619.950      1.4503      1.5367
620.050      1.5003      1.5373
620.150      1.5537      1.5379
620.250      1.5458      1.5385
620.350      1.5388      1.5391
620.450      1.5412      1.5394
620.550      1.4775      1.5398
620.650      1.5223      1.5401
620.750      1.5467      1.5405
620.850      1.5089      1.5409
620.950      1.3412      1.5412
621.050      1.5509      1.5416
621.150      1.5015      1.5419
621.250      1.4545      1.5422
621.350      1.4749      1.5426
621.450      1.4318      1.5429
621.550      1.3253      1.5432
621.650      1.2797      1.5435
621.750      1.4335      1.5437
621.850      1.4992      1.5440
621.950      1.4567      1.5442
622.050      1.4625      1.5445
622.150      1.4919      1.5438
622.250      1.4152      1.5440
622.350      1.4139      1.5442
622.450      1.5237      1.5443
622.550      1.3660      1.5444
622.650      1.3859      1.5445
622.750      1.3665      1.5446
622.850      1.4333      1.5446
622.950      1.4775      1.5445
623.050      1.4270      1.5418
623.150      1.3986      1.5405
623.250      1.4908      1.5409
623.350      1.5244      1.5414
623.450      1.5287      1.5417
623.550      1.5456      1.5421
623.650      1.5725      1.5424
623.750      1.5538      1.5426
623.850      1.5665      1.5428
623.950      1.5774      1.5429
624.050      1.5986      1.5430
624.150      1.4979      1.5430
624.250      1.5051      1.5430
624.350      1.4637      1.5429
624.450      1.3511      1.5427
624.550      1.3490      1.5425
624.650      1.2818      1.5423
624.750      1.3516      1.5420
624.850      1.1771      1.5417
624.950      1.4546      1.5413
625.050      1.3787      1.5409
625.150      1.3610      1.5404
625.250      1.3474      1.5399
625.350      1.3908      1.5393
625.450      1.3554      1.5387
625.550      1.3665      1.5381
625.650      1.4400      1.5374
625.750      1.3980      1.5367
625.850      1.2857      1.5359
625.950      1.3085      1.5351
626.050      1.3029      1.5343
626.150      1.3034      1.5334
626.250      1.3162      1.5325
626.350      1.2044      1.5316
626.450      1.3146      1.5307
626.550      1.4731      1.5297
626.650      1.3814      1.5287
626.750      1.1303      1.5276
626.850      1.3061      1.5266
626.950      1.3110      1.5255
627.050      1.2219      1.5243
627.150      1.5143      1.5232
627.250      1.4966      1.5220
627.350      1.5191      1.5208
627.450      1.5103      1.5195
627.550      1.4951      1.5182
627.650      1.2885      1.3702
627.750      1.4615      1.5475
627.850      1.5283      1.5465
