#J	G0202	
#scanned warm
#Wavelength (Ang) transmission
10830.0 0.00017115
10840.0 0.00012722
10850.0 0.0001632 
10860.0 9.7085e-05
10870.0 0.00015517
10880.0 0.00019416
10890.0 0.0001605 
10900.0 0.00015132
10910.0 0.00011271
10920.0 0.0001857 
10930.0 0.00013505
10940.0 0.00015588
10950.0 0.00020622
10960.0 0.00023228
10970.0 0.00015033
10980.0 0.00014058
10990.0 0.0001714 
11000.0 0.00016005
11010.0 0.00013991
11020.0 0.00019753
11030.0 0.0001261 
11040.0 0.00020164
11050.0 0.00017184
11060.0 0.00017253
11070.0 0.00017353
11080.0 0.00012961
11090.0 0.00016103
11100.0 0.00020945
11110.0 0.00014731
11120.0 0.0002193 
11130.0 0.00016829
11140.0 0.00018164
11150.0 0.00023838
11160.0 0.00021574
11170.0 0.00019019
11180.0 0.00018998
11190.0 0.0002033 
11200.0 0.00025535
11210.0 0.00022209
11220.0 0.00022808
11230.0 0.00023643
11240.0 0.00019463
11250.0 0.00028616
11260.0 0.00029212
11270.0 0.00031651
11280.0 0.00035794
11290.0 0.0003588 
11300.0 0.00035246
11310.0 0.0003765 
11320.0 0.00043387
11330.0 0.0004491 
11340.0 0.00049995
11350.0 0.00059157
11360.0 0.00064929
11370.0 0.00069659
11380.0 0.00075796
11390.0 0.00090338
11400.0 0.0011626 
11410.0 0.0012783 
11420.0 0.0015575 
11430.0 0.001863  
11440.0 0.0022356 
11450.0 0.0026022 
11460.0 0.0031332 
11470.0 0.0038214 
11480.0 0.0046611 
11490.0 0.0056666 
11500.0 0.0068352 
11510.0 0.0083094 
11520.0 0.010157  
11530.0 0.012456  
11540.0 0.015129  
11550.0 0.018569  
11560.0 0.022641  
11570.0 0.027758  
11580.0 0.034063  
11590.0 0.041903  
11600.0 0.051772  
11610.0 0.063834  
11620.0 0.079401  
11630.0 0.099205  
11640.0 0.12357   
11650.0 0.15613   
11660.0 0.19566   
11670.0 0.24354   
11680.0 0.30355   
11690.0 0.37308   
11700.0 0.45044   
11710.0 0.53525   
11720.0 0.61668   
11730.0 0.69033   
11740.0 0.75031   
11750.0 0.79321   
11760.0 0.81979   
11770.0 0.83257   
11780.0 0.83533   
11790.0 0.83218   
11800.0 0.82641   
11810.0 0.82031   
11820.0 0.81512   
11830.0 0.81187   
11840.0 0.81036   
11850.0 0.81071   
11860.0 0.81236   
11870.0 0.81514   
11880.0 0.8183    
11890.0 0.82185   
11900.0 0.82507   
11910.0 0.82777   
11920.0 0.82992   
11930.0 0.83134   
11940.0 0.83226   
11950.0 0.83277   
11960.0 0.83304   
11970.0 0.83328   
11980.0 0.83364   
11990.0 0.83463   
12000.0 0.83553   
12010.0 0.83726   
12020.0 0.83957   
12030.0 0.84228   
12040.0 0.84597   
12050.0 0.84949   
12060.0 0.85349   
12070.0 0.8582    
12080.0 0.86211   
12090.0 0.8664    
12100.0 0.8704    
12110.0 0.87363   
12120.0 0.87663   
12130.0 0.87876   
12140.0 0.88049   
12150.0 0.88094   
12160.0 0.88118   
12170.0 0.88076   
12180.0 0.8794    
12190.0 0.87788   
12200.0 0.8755    
12210.0 0.87339   
12220.0 0.87062   
12230.0 0.86784   
12240.0 0.86512   
12250.0 0.8627    
12260.0 0.86018   
12270.0 0.85803   
12280.0 0.85571   
12290.0 0.85428   
12300.0 0.85264   
12310.0 0.85188   
12320.0 0.85129   
12330.0 0.85097   
12340.0 0.85098   
12350.0 0.85153   
12360.0 0.85232   
12370.0 0.85312   
12380.0 0.85456   
12390.0 0.85631   
12400.0 0.85819   
12410.0 0.86053   
12420.0 0.86276   
12430.0 0.86529   
12440.0 0.86806   
12450.0 0.87099   
12460.0 0.87405   
12470.0 0.87708   
12480.0 0.88013   
12490.0 0.88316   
12500.0 0.88626   
12510.0 0.88891   
12520.0 0.89144   
12530.0 0.89416   
12540.0 0.89642   
12550.0 0.89838   
12560.0 0.90029   
12570.0 0.90186   
12580.0 0.90343   
12590.0 0.90432   
12600.0 0.90537   
12610.0 0.90647   
12620.0 0.90689   
12630.0 0.9073    
12640.0 0.90761   
12650.0 0.90811   
12660.0 0.9085    
12670.0 0.90888   
12680.0 0.90889   
12690.0 0.9098    
12700.0 0.90998   
12710.0 0.91028   
12720.0 0.91087   
12730.0 0.91122   
12740.0 0.91172   
12750.0 0.91222   
12760.0 0.91296   
12770.0 0.91344   
12780.0 0.91383   
12790.0 0.91427   
12800.0 0.91479   
12810.0 0.91485   
12820.0 0.91448   
12830.0 0.91428   
12840.0 0.91406   
12850.0 0.91334   
12860.0 0.91278   
12870.0 0.91184   
12880.0 0.91061   
12890.0 0.9091    
12900.0 0.90753   
12910.0 0.90566   
12920.0 0.90336   
12930.0 0.90101   
12940.0 0.89864   
12950.0 0.89589   
12960.0 0.89315   
12970.0 0.89038   
12980.0 0.88734   
12990.0 0.88433   
13000.0 0.88146   
13010.0 0.87832   
13020.0 0.8756    
13030.0 0.8725    
13040.0 0.86975   
13050.0 0.86714   
13060.0 0.86436   
13070.0 0.86248   
13080.0 0.85971   
13090.0 0.85751   
13100.0 0.85531   
13110.0 0.85363   
13120.0 0.85242   
13130.0 0.85154   
13140.0 0.85148   
13150.0 0.85227   
13160.0 0.85379   
13170.0 0.85704   
13180.0 0.86144   
13190.0 0.86702   
13200.0 0.87441   
13210.0 0.8826    
13220.0 0.89159   
13230.0 0.89993   
13240.0 0.90505   
13250.0 0.90537   
