#H	G0203
#scanned warm
#Wavelength (Ang) Transmission
10830.0 0.00018778
10840.0 9.7739e-05
10850.0 0.00014247
10860.0 0.0001013 
10870.0 0.00013395
10880.0 0.00016466
10890.0 0.00015213
10900.0 0.00014288
10910.0 7.4872e-05
10920.0 0.00019419
10930.0 0.00013033
10940.0 0.00012653
10950.0 0.00020219
10960.0 0.00011409
10970.0 0.0001419 
10980.0 0.00014477
10990.0 0.0001924 
11000.0 0.00017758
11010.0 0.00011456
11020.0 0.00017104
11030.0 0.00020691
11040.0 0.00013444
11050.0 0.00014669
11060.0 0.00016067
11070.0 0.00014868
11080.0 0.00014414
11090.0 0.0001325 
11100.0 0.00023463
11110.0 8.7989e-05
11120.0 0.00022438
11130.0 0.00012982
11140.0 0.00013936
11150.0 0.00020923
11160.0 0.00015652
11170.0 0.000203  
11180.0 0.00015181
11190.0 0.00011916
11200.0 0.000175  
11210.0 0.00016349
11220.0 0.0001483 
11230.0 0.00014319
11240.0 0.00012301
11250.0 0.00016827
11260.0 0.00013958
11270.0 0.00017724
11280.0 0.00016064
11290.0 0.00016869
11300.0 8.4824e-05
11310.0 0.0001479 
11320.0 0.00018923
11330.0 0.00011386
11340.0 0.00015605
11350.0 0.0001574 
11360.0 0.00015607
11370.0 0.00017262
11380.0 0.00012319
11390.0 0.00010528
11400.0 0.00013789
11410.0 0.00013994
11420.0 0.00012686
11430.0 0.00019842
11440.0 0.00016917
11450.0 0.00013956
11460.0 0.00011768
11470.0 0.00023591
11480.0 0.00018562
11490.0 0.00017761
11500.0 0.00016098
11510.0 0.00011824
11520.0 0.00015147
11530.0 0.000126  
11540.0 0.00014769
11550.0 0.00016098
11560.0 0.00013541
11570.0 0.0002029 
11580.0 0.00016064
11590.0 0.00014816
11600.0 0.00018976
11610.0 0.00017764
11620.0 0.00013046
11630.0 0.00011435
11640.0 0.00016845
11650.0 0.00011424
11660.0 0.00015586
11670.0 0.00015219
11680.0 0.00013037
11690.0 0.00018163
11700.0 0.00016002
11710.0 0.00016069
11720.0 0.00016003
11730.0 0.00019019
11740.0 0.00013058
11750.0 0.00015601
11760.0 0.00016515
11770.0 0.00010112
11780.0 0.00014795
11790.0 0.00025755
11800.0 0.00018207
11810.0 0.00013425
11820.0 0.00013106
11830.0 0.00017279
11840.0 0.00013481
11850.0 0.00019805
11860.0 0.00016857
11870.0 0.00011387
11880.0 0.00013087
11890.0 0.00016039
11900.0 0.00017687
11910.0 0.00016013
11920.0 0.00012218
11930.0 0.00013912
11940.0 0.00014758
11950.0 0.0001558 
11960.0 0.00013039
11970.0 0.00016499
11980.0 0.00014596
11990.0 0.00013109
12000.0 0.00017277
12010.0 0.00018467
12020.0 0.00013114
12030.0 0.00013581
12040.0 0.00011405
12050.0 0.00013081
12060.0 0.00015641
12070.0 6.7636e-05
12080.0 0.00015629
12090.0 0.00019428
12100.0 0.00013921
12110.0 0.00015608
12120.0 0.0001898 
12130.0 0.00013069
12140.0 0.000177  
12150.0 0.00015168
12160.0 0.00013899
12170.0 0.00017692
12180.0 0.00020633
12190.0 0.00015156
12200.0 0.00015572
12210.0 0.00015568
12220.0 0.00015148
12230.0 0.00013457
12240.0 0.00015566
12250.0 0.00015138
12260.0 0.00013455
12270.0 0.00018507
12280.0 0.00020611
12290.0 0.00013031
12300.0 0.00015554
12310.0 0.00015136
12320.0 0.00014293
12330.0 0.0001724 
12340.0 0.00012189
12350.0 0.00014718
12360.0 0.00019757
12370.0 0.00013462
12380.0 0.00017667
12390.0 0.00013883
12400.0 0.00014304
12410.0 0.00018507
12420.0 0.00014725
12430.0 0.00017648
12440.0 0.00016795
12450.0 0.00017223
12460.0 0.00015931
12470.0 0.00011341
12480.0 0.00016803
