#K	G0204
#scanned warm
#Wavelength (Ang) transmission
10370.0 0.00013053 
10380.0 0.00013622 
10390.0 9.1963e-05 
10400.0 3.8665e-05 
10410.0 8.0534e-05 
10420.0 0.00011227 
10430.0 8.541e-05  
10440.0 8.045e-05  
10450.0 5.9233e-05 
10460.0 5.1412e-06 
10470.0 5.4492e-05 
10480.0 5.9558e-05 
10490.0 0.00011356 
10500.0 4.1376e-05 
10510.0 5.4433e-05 
10520.0 5.2226e-05 
10530.0 7.9243e-05 
10540.0 3.7554e-05 
10550.0 5.06e-05   
10560.0 0.00010235 
10570.0 9.6437e-05 
10580.0 6.9141e-05 
10590.0 0.00011352 
10600.0 9.7931e-05 
10610.0 0.0001013  
10620.0 0.00014878 
10630.0 6.3062e-05 
10640.0 5.1025e-05 
10650.0 0.00010532 
10660.0 0.00011044 
10670.0 6.2964e-05 
10680.0 5.1057e-05 
10690.0 0.00012222 
10700.0 7.5122e-05 
10710.0 8.5557e-05 
10720.0 0.0001267  
10730.0 0.00010914 
10740.0 9.4653e-05 
10750.0 0.00011358 
10760.0 8.8164e-05 
10770.0 8.089e-05  
10780.0 0.00011372 
10790.0 5.5431e-05 
10800.0 6.7763e-05 
10810.0 7.6136e-05 
10820.0 5.9941e-05 
10830.0 6.7902e-05 
10840.0 0.00012333 
10850.0 0.00011027 
10860.0 0.00014003 
10870.0 8.8745e-05 
10880.0 0.00010205 
10890.0 4.6118e-05 
10900.0 0.0001181  
10910.0 0.00013513 
10920.0 8.5596e-05 
10930.0 9.1823e-05 
10940.0 7.1675e-05 
10950.0 5.4918e-05 
10960.0 7.6774e-05 
10970.0 5.4157e-05 
10980.0 1.8003e-05 
10990.0 8.4287e-05 
11000.0 9.3143e-05 
11010.0 6.8276e-05 
11020.0 0.00011927 
11030.0 8.8647e-05 
11040.0 8.011e-05  
11050.0 3.4239e-05 
11060.0 0.00013222 
11070.0 1.2728e-05 
11080.0 8.0236e-05 
11090.0 0.00010225 
11100.0 6.8232e-05 
11110.0 9.3398e-05 
11120.0 7.1854e-05 
11130.0 0.00013085 
11140.0 0.00010642 
11150.0 9.7939e-05 
11160.0 9.3705e-05 
11170.0 9.793e-05  
11180.0 0.0001276  
11190.0 8.9458e-05 
11200.0 0.00014016 
11210.0 0.00013164 
11220.0 3.7715e-05 
11230.0 9.8222e-05 
11240.0 0.00011059 
11250.0 4.7077e-05 
11260.0 0.00012342 
11270.0 8.0977e-05 
11280.0 8.9311e-05 
11290.0 8.0274e-05 
11300.0 0.00013267 
11310.0 0.00014422 
11320.0 0.00011478 
11330.0 2.9674e-05 
11340.0 0.00016139 
11350.0 0.00012741 
11360.0 0.0001102  
11370.0 4.724e-05  
11380.0 6.7179e-05 
11390.0 7.7166e-05 
11400.0 9.6723e-05 
11410.0 7.2769e-05 
11420.0 6.8093e-05 
11430.0 5.4491e-05 
11440.0 8.5497e-05 
11450.0 0.0001012  
11460.0 0.00016591 
11470.0 3.3228e-05 
11480.0 3.7365e-05 
11490.0 0.00013154 
11500.0 9.4617e-05 
11510.0 0.00013843 
11520.0 3.5481e-05 
11530.0 6.3101e-05 
11540.0 0.00011827 
11550.0 4.2543e-05 
11560.0 7.2932e-05 
11570.0 6.3296e-05 
11580.0 8.359e-05  
11590.0 0.000107   
11600.0 0.00010315 
11610.0 7.5379e-05 
11620.0 5.4453e-05 
11630.0 7.6564e-05 
11640.0 7.3816e-05 
11650.0 0.00010963 
11660.0 3.7409e-05 
11670.0 0.00011053 
11680.0 9.4606e-05 
11690.0 4.556e-05  
11700.0 0.00010554 
11710.0 8.9071e-05 
11720.0 8.107e-05  
11730.0 0.00011807 
11740.0 0.0001007  
11750.0 9.7819e-05 
11760.0 6.8468e-05 
11770.0 8.8678e-05 
11780.0 2.3635e-05 
11790.0 0.00011529 
11800.0 8.9704e-05 
11810.0 9.6095e-05 
